{ id: 1, make: AUDI, model: S_CLASS, year: 2010, color: ORANGE, price: 65493.96, registrationNumber: BMW_A8_4233 }
{ id: 2, make: MERCEDES, model: A6, year: 2022, color: GREEN, price: 1209.72, registrationNumber: AUDI_X6_7146 }
{ id: 3, make: MERCEDES, model: S_CLASS, year: 2000, color: RED, price: 91982.02, registrationNumber: BMW_X7_577 }
{ id: 4, make: BMW, model: X6, year: 2011, color: GREEN, price: 59364.16, registrationNumber: BMW_E_CLASS_1092 }
{ id: 5, make: BMW, model: S_CLASS, year: 2000, color: PINK, price: 39883.60, registrationNumber: AUDI_A7_6051 }
{ id: 6, make: AUDI, model: X6, year: 2013, color: WHITE, price: 68358.07, registrationNumber: MERCEDES_A6_1437 }
{ id: 7, make: MERCEDES, model: A6, year: 2021, color: WHITE, price: 76305.73, registrationNumber: MERCEDES_X6_9918 }
{ id: 8, make: AUDI, model: C_CLASS, year: 2005, color: YELLOW, price: 99589.93, registrationNumber: BMW_X7_7322 }
{ id: 9, make: AUDI, model: E_CLASS, year: 2020, color: GREEN, price: 14439.14, registrationNumber: BMW_A6_8170 }
{ id: 10, make: MERCEDES, model: E_CLASS, year: 2006, color: PINK, price: 45982.88, registrationNumber: AUDI_X5_3448 }
{ id: 11, make: BMW, model: A7, year: 2008, color: BROWN, price: 18444.04, registrationNumber: AUDI_S_CLASS_6272 }
{ id: 12, make: MERCEDES, model: X6, year: 2005, color: BLUE, price: 41128.38, registrationNumber: BMW_A6_3616 }
{ id: 13, make: BMW, model: E_CLASS, year: 2020, color: YELLOW, price: 49351.70, registrationNumber: BMW_C_CLASS_4758 }
{ id: 14, make: AUDI, model: X5, year: 2018, color: PINK, price: 44445.51, registrationNumber: MERCEDES_A6_9626 }
{ id: 15, make: BMW, model: A6, year: 2000, color: BROWN, price: 1981.51, registrationNumber: AUDI_X6_2679 }
{ id: 16, make: BMW, model: X7, year: 2013, color: GREY, price: 42355.90, registrationNumber: BMW_C_CLASS_525 }
{ id: 17, make: BMW, model: A8, year: 2007, color: GREY, price: 82873.73, registrationNumber: AUDI_A8_3901 }
{ id: 18, make: AUDI, model: X6, year: 2002, color: GREY, price: 15474.28, registrationNumber: MERCEDES_X7_7209 }
{ id: 19, make: MERCEDES, model: A6, year: 2003, color: PURPLE, price: 79237.85, registrationNumber: MERCEDES_X5_1257 }
{ id: 20, make: BMW, model: A8, year: 2004, color: PINK, price: 21814.66, registrationNumber: BMW_A8_7371 }
{ id: 21, make: MERCEDES, model: A8, year: 2021, color: WHITE, price: 68916.59, registrationNumber: BMW_A7_3549 }
{ id: 22, make: AUDI, model: S_CLASS, year: 2013, color: PURPLE, price: 46012.13, registrationNumber: MERCEDES_X7_5807 }
{ id: 23, make: AUDI, model: E_CLASS, year: 2005, color: GREY, price: 21365.51, registrationNumber: BMW_S_CLASS_402 }
{ id: 24, make: AUDI, model: X7, year: 2021, color: BROWN, price: 64560.29, registrationNumber: BMW_X6_5069 }
{ id: 25, make: BMW, model: X7, year: 2001, color: ORANGE, price: 39648.26, registrationNumber: BMW_X7_9967 }
